ID,lang,Date,Source,len,Orig_Tweet,Tweet,Likes,RTs,Hashtags,UserMentionNames,UserMentionID,Name,Place,Followers,Friends
1013564694794199040,en,2018-07-01 23:27:09,Twitter for Android,140,"RT @andreitr: My only #worldcup tweet! Saw this on Facebook, it is too good to pass up: The [Soccer] Dance by Henri Matisse #matisse #henri…",My only tweet Saw this on Facebook it is too good to pass up The Soccer Dance by Henri Matisse,0,35,"worldcup,matisse",Andrei Taraschuk,andreitr,T????nz ?,painting in my fucking studio!,470,644
1013564689014509568,en,2018-07-01 23:27:07,Twitter Lite,99,"RT @Bosslogic: So close, yet so far... #WorldCup #Cristiano #Ronaldo #Messi https://t.co/OMLo4C8hmd",So close yet so far,0,5434,"WorldCup,Cristiano,Ronaldo,Messi",BossLogic,Bosslogic,Bruno Pimentel,Teofilo Otoni - MG | Brazil,423,1218
1013564687760289792,en,2018-07-01 23:27:07,Twitter for Android,140,"RT @TheMichaelMoran: It is my contention that Clésio Moreira dos Santos should referee the #WorldCup final. And indeed all matches, ever ht…",It is my contention that Cl sio Moreira dos Santos should referee the final And indeed all matches ever ht,0,826,WorldCup,Michael Moran,TheMichaelMoran,Trivalve,Canberra,263,938
1013564683985580038,en,2018-07-01 23:27:06,Twitter for Android,109,"RT @BelRedDevils: When #RUS  gets crazy ??

#ESPRUS 
#REDTOGETHER 
#WorldCup 
#BELJPN https://t.co/8IbXEnlb0z",When gets crazy,0,286,"RUS,ESPRUS,REDTOGETHER,WorldCup,BELJPN",Belgian Red Devils,BelRedDevils,Ben,"Johannesburg, South Africa",8,29
1013564663244652544,en,2018-07-01 23:27:01,Twitter for iPhone,144,"RT @premierleague: Pure drama.

Despite Kasper Schmeichel's heroics for #DEN &amp; Mathias Zanka becoming Huddersfield's first ever #WorldCup s…",Pure drama Despite Kasper Schmeichels heroics for Mathias Zanka becoming Huddersfields first ever,0,755,"DEN,WorldCup",Premier League,premierleague,Kganya ?,"Johannesburg, South Africa",245,542
1013564662431059968,en,2018-07-01 23:27:01,Twitter for Android,126,"RT @mrdanwalker: 1 of these teams will be in the #WorldCup final...
Russia
Croatia
Denmark
Sweden
Switzerland
Colombia
England",of these teams will be in the final Russia Croatia Denmark Sweden Switzerland Colombia England,0,2172,WorldCup,Dan Walker,mrdanwalker,Martyn Smith,Newport Pagnell,51,312
1013564661906763776,en,2018-07-01 23:27:01,Twitter for Android,108,RT @emma_dele: The brightest side of a sad night. #WorldCup #ShareLove #WeWillBeBack https://t.co/FnadYE7AUU,The brightest side of sad night,0,4519,"WorldCup,ShareLove,WeWillBeBack",Nwachukwu Emmanuel,emma_dele,Fawwaz,"Lagos, Nigeria",271,249
1013564649701330944,en,2018-07-01 23:26:58,Twitter for iPhone,102,"RT @JohnOdedeji: Issa VAR street video #WorldCup 

Africans Play too much ???? https://t.co/3tOcEYWeVs",Issa VAR street video Africans Play too much,0,1515,WorldCup,Omo Akure,JohnOdedeji,Leo.,Magic City,1213,959
1013564646035353600,en,2018-07-01 23:26:57,Twitter for Android,140,RT @guardian_sport: Jesse Lingard enjoying 'new revolution' with England at World Cup https://t.co/68cM6SsO4r #Eng #WorldCup https://t.co/f…,Jesse Lingard enjoying new revolution with England at World Cup,0,5,"Eng,WorldCup",Guardian sport,guardian_sport,????????®,Hong Kong,1416,641
1013564640444416000,en,2018-07-01 23:26:56,Twitter for Android,140,"RT @fczenit_en: Russia through to the quarters and Sergio Ramos is crying.
BEST. WORLD. CUP. EVER!
#ESPRUS #WorldCup https://t.co/m1fuaflAZL",Russia through to the quarters and Sergio Ramos is crying BEST WORLD CUP EVER,0,1666,"ESPRUS,WorldCup",FC Zenit in English,fczenit_en,Did Mehmeti,Prishtinë,628,468
